hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,French Toast,1 ea,251,10.5g,4.1g,26g,10.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119370*1
south,12/1/2025,Breakfast,Sausage Patty,1 EACH,172,15g,4.9g,0g,8.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=060022*1
south,12/1/2025,Breakfast,Apple Filling,3 oz,80,0g,0g,20g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090432*3
south,12/1/2025,Breakfast,Butter,1 oz,203,22.3g,14.2g,0g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220065*1
south,12/1/2025,Breakfast,Cherry Filling,1 oz,33,0g,0g,8.7g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=102012*1
south,12/1/2025,Breakfast,Hash Browns Rounds,1 each,792,50.4g,3.6g,108g,7.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=141142*1
south,12/1/2025,Breakfast,Maple Syrup,1 oz,58,0g,0g,15g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=119363*1
south,12/1/2025,Breakfast,Margarine,1 oz,203,22.3g,10.1g,0g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220066*1
south,12/1/2025,Breakfast,Vegan Breakfast Sausage,1 EACH,70,3.5g,0g,3g,6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100980*1
south,12/1/2025,Breakfast,Vegan Pancake Gluten Free,1 each,128,3g,0.2g,22.6g,2.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100208*1
south,12/1/2025,Breakfast,Vegetable Tofu Quiche,6 oz,147,4.8g,0.2g,19.5g,11.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100394*6
south,12/1/2025,Breakfast,Banana Farro Oatmeal Pudding,4 oz,130,5.1g,0.4g,19.7g,2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100976*4
south,12/1/2025,Breakfast,Cajun Roasted Breakfast Potatoes w/ Peppers & Onions,4 oz,73,0.6g,0.1g,15.5g,1.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100386*4
south,12/1/2025,Breakfast,Vegan Cream Cheese,1 oz,76,6.6g,4.3g,3.8g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100322*1
south,12/1/2025,Breakfast,Vegan Sour Cream,1 oz,40,3g,0g,3g,1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100321*1
south,12/1/2025,Breakfast,Vegan Vanilla Soy-Free Yogurt,4 oz,106,2.6g,0g,15.9g,4.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100213*4
south,12/1/2025,Breakfast,Hard Boiled Egg (Breakfast),1 each,79,5.7g,1.7g,0g,6.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=040066*1
south,12/1/2025,Breakfast,Over Hard Fried Eggs,1 ea,90,6.8g,1.8g,0g,6.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=040063*1
south,12/1/2025,Breakfast,Scrambled Cheesy Cheddar Egg,4 oz,215,15.5g,4.7g,1.2g,16.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=040065*4
south,12/1/2025,Breakfast,Scrambled Egg Whites,4 oz,72,1.8g,0.1g,1.1g,12.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=040067*4
south,12/1/2025,Breakfast,Scrambled Eggs,4 oz,192,13.7g,3.6g,1.2g,15g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=040060*4
south,12/1/2025,Breakfast,American Cheese Sliced,1 each,56,4.6g,2.5g,0.5g,3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220082*1
